Country/Territory,Continent,1990 Population,2000 Population,2010 Population,2022 Population,Growth_1990_2000_%,Growth_2000_2010_%,Growth_2010_2022_%
Afghanistan,Asia,10694796,19542982,28189672,41128771,82.73,44.24,45.9
Albania,Europe,3295066,3182021,2913399,2842321,-3.43,-8.44,-2.44
Algeria,Africa,25518074,30774621,35856344,44903225,20.6,16.51,25.23
American Samoa,Oceania,47818,58230,54849,44273,21.77,-5.81,-19.28
Andorra,Europe,53569,66097,71519,79824,23.39,8.2,11.61
Angola,Africa,11828638,16394062,23364185,35588987,38.6,42.52,52.32
Anguilla,North America,8316,11047,13172,15857,32.84,19.24,20.38
Antigua and Barbuda,North America,63328,75055,85695,93763,18.52,14.18,9.41
Argentina,South America,32637657,37070774,41100123,45510318,13.58,10.87,10.73
Armenia,Asia,3556539,3168523,2946293,2780469,-10.91,-7.01,-5.63
Aruba,North America,65712,89101,100341,106445,35.59,12.61,6.08
Australia,Oceania,17048003,19017963,22019168,26177413,11.56,15.78,18.88
Austria,Europe,7678729,8010428,8362829,8939617,4.32,4.4,6.9
Azerbaijan,Asia,7427836,8190337,9237202,10358074,10.27,12.78,12.13
Bahamas,North America,270679,325014,373272,409984,20.07,14.85,9.84
Bahrain,Asia,517418,711442,1213645,1472233,37.5,70.59,21.31
Bangladesh,Asia,107147651,129193327,148391139,171186372,20.58,14.86,15.36
Barbados,North America,258868,264657,274711,281635,2.24,3.8,2.52
Belarus,Europe,10428525,10256483,9731427,9534954,-1.65,-5.12,-2.02
Belgium,Europe,9959560,10264343,10877947,11655930,3.06,5.98,7.15
Belize,North America,182589,240406,322106,405272,31.67,33.98,25.82
Benin,Africa,5133419,6998023,9445710,13352864,36.32,34.98,41.36
Bermuda,North America,57470,61371,63447,64184,6.79,3.38,1.16
Bhutan,Asia,558442,587207,705516,782455,5.15,20.15,10.91
Bolivia,South America,7096194,8592656,10223270,12224110,21.09,18.98,19.57
Bosnia and Herzegovina,Europe,4494310,4179350,3811088,3233526,-7.01,-8.81,-15.15
Botswana,Africa,1341474,1726985,2091664,2630296,28.74,21.12,25.75
Brazil,South America,150706446,175873720,196353492,215313498,16.7,11.64,9.66
British Virgin Islands,North America,15617,20104,27556,31305,28.73,37.07,13.61
Brunei,Asia,261928,333926,396053,449002,27.49,18.61,13.37
Bulgaria,Europe,8767778,8097691,7592273,6781953,-7.64,-6.24,-10.67
