Continent,Year,Population
Africa,1970,365444348
Africa,1980,481536377
Africa,1990,638150629
Africa,2000,818946032
Africa,2010,1055228072
Africa,2015,1201102442
Africa,2020,1360671810
Africa,2022,1426730932
Asia,1970,2144906290
Asia,1980,2635334228
Asia,1990,3210563577
Asia,2000,3735089604
Asia,2010,4220041327
Asia,2015,4458250182
Asia,2020,4663086535
Asia,2022,4721383274
Europe,1970,655923991
Europe,1980,692527159
Europe,1990,720320797
Europe,2000,726093423
Europe,2010,735613934
Europe,2015,741535608
Europe,2020,745792196
Europe,2022,743147538
North America,1970,315434606
North America,1980,368293361
North America,1990,421266425
North America,2000,486069584
North America,2010,542720651
North America,2015,570383850
North America,2020,594236593
North America,2022,600296136
Oceania,1970,19480270
Oceania,1980,22920240
Oceania,1990,26743822
Oceania,2000,31222778
Oceania,2010,37102764
Oceania,2015,40403283
Oceania,2020,43933426
Oceania,2022,45038554
South America,1970,192947156
South America,1980,241789006
South America,1990,297146415
South America,2000,349634282
South America,2010,393078250
South America,2015,413134396
South America,2020,431530043
South America,2022,436816608
